GLOBAL LIQUIDITY RANKING REPORT
================================================================================================================
Rank  Car Name                                                         Volume       Mean Price         CV  Liquidity
 282  تارا / اتوماتیک V4 / EF7P توربو                                      19    2,832,894,737     0.0447     2.1796
 283  کی ام سی / SR6 / 1.5 لیتر توربو                                      19    5,455,210,526     0.0455     2.1792
 284  شاهین / پلاس اتوماتیک AT / تیپ GL                                    19    2,772,631,579     0.0481     2.1782
 285  بی وای دی / چین ال DMi / 1.5 لیتر توربو                              19    7,973,157,895     0.0596     2.1736
 286  پیکان / وانت / دوگانه سوز                                            22      517,409,091     0.2700     2.1733
 287  سمند / X7 / دنده ای                                                  21      565,428,571     0.2039     2.1731
 288  تانک / 300 مونتاژی / 2.0 لیتر توربو                                  19   11,218,421,053     0.0621     2.1726
 289  میتسوبیشی / اوتلندر / تک دیفرانسیل H لاین                            19   11,676,315,789     0.0647     2.1716
 290  پراید / 131 / SX                                                     20      507,500,000     0.1381     2.1715
 291  پیش فروش کی ام سی / X5 / 1.5 لیتر توربو                              18    1,400,000,000     0.0000     2.1667
